Rp_FIO_PL_P;Rp_SFIO_PL_P;Rp_FIO_Z_P;Rp_SFIO_Z_P;Rl_FIO_PL_P;Rl_SFIO_PL_P;Rl_FIO_Z_P;Rl_SFIO_Z_P;Rf_P;Rm_FIO_PL_P;Rm_SFIO_PL_P;Rm_FIO_Z_P;Rm_SFIO_Z_P;Rw_FIO_PL_P;Rw_SFIO_PL_P;Rw_FIO_Z_P;Rw_SFIO_Z_P;Rw_WIG_P;Rw_MSCI_P;Rl_WIG_P;Rl_MSCI_P;Rt+_FIO_PL_P;Rt+_SFIO_PL_P;Rt+_FIO_Z_P;Rt+_SFIO_Z_P;Rp_FIO_PL_W;Rp_SFIO_PL_W;Rp_FIO_Z_W;Rp_SFIO_Z_W;Rl_FIO_PL_W;Rl_SFIO_PL_W;Rl_FIO_Z_W;Rl_SFIO_Z_W;Rf_W;Rm_FIO_PL_W;Rm_SFIO_PL_W;Rm_FIO_Z_W;Rm_SFIO_Z_W;Rw_FIO_PL_W;Rw_SFIO_PL_W;Rw_FIO_Z_W;Rw_SFIO_Z_W;Rw_WIG_W;Rw_MSCI_W;Rl_WIG_W;Rl_MSCI_W;Rt+_FIO_PL_W;Rt+_SFIO_PL_W;Rt+_FIO_Z_W;Rt+_SFIO_Z_W;FIO_PL;SFIO_PL;FIO_Z;SFIO_Z;FIO_PL_C;SFIO_PL_C;FIO_Z_C;SFIO_Z_C
0,436227669;0,404702976;0,914000831;-0,495088691;0,437181918;0,405524115;0,821973617;-0,493867157;-2,129627955;0,203320978;0,203320978;1,07817756;1,07817756;0;0;0;-0,493867157;0;0;0,203320978;1,07817756;0,437181918;0,405524115;0,821973617;0;4,782164738;4,210714721;4,441797141;2,761622338;4,900291655;4,301935195;5,058727981;2,800472054;2,46118941;5,112542449;5,112542449;3,452729177;3,452729177;0;0;0;0;5,112542449;3,452729177;5,112542449;3,452729177;4,900291655;4,301935195;5,058727981;2,800472054;0,437181918;0,405524115;0,821973617;-0,493867157;48,14;2137,37;53,75;1389,65
-0,187304891;-0,282920604;0,437044745;1,125602112;-0,187129694;-0,282521137;0,389936433;1,131984954;-1,063935742;-0,153995361;-0,153995361;1,281962117;1,281962117;-0,187129694;-0,282521137;0;0;-0,153995361;0;-0,153995361;1,281962117;0;0;0,389936433;1,131984954;1,027454944;0,707471367;2,189658076;1,691914817;1,032769698;0,709985812;2,427303636;1,706391213;-0,533233029;1,036040726;1,036040726;2,984275157;2,984275157;0;0;0;0;1,036040726;2,984275157;1,036040726;2,984275157;1,032769698;0,709985812;2,427303636;1,706391213;-0,187129694;-0,282521137;0,389936433;1,131984954;48,05;2131,34;53,96;1405,47
3,76527138;3,878954608;2,623673142;1,665185724;3,83798891;3,956189927;2,398723451;1,6792058;2,098919998;4,303653443;4,303653443;1,077711883;1,077711883;0;0;0;0;0;0;4,303653443;1,077711883;3,83798891;3,956189927;2,398723451;1,6792058;2,271604938;2,594408247;0,855967078;0,749895329;2,297803394;2,62865668;0,954661188;0,75272118;2,26553016;2,00297891;2,00297891;-0,042131873;-0,042131873;0;0;0;0;2,00297891;-0,042131873;2,00297891;-0,042131873;2,297803394;2,62865668;0,954661188;0,75272118;3,83798891;3,956189927;2,398723451;1,6792058;49,93;2217,35;55,27;1429,27
-1,154781199;-0,743759598;-0,769854133;-0,317952749;-1,148164492;-0,741007345;-0,689908328;-0,317448348;2,921575764;-1,492444518;-1,492444518;-1,218422911;-1,218422911;-1,148164492;-0,741007345;-0,689908328;-0,317448348;-1,492444518;-1,218422911;-1,492444518;-1,218422911;0;0;0;0;-0,762978935;-0,463637911;3,383645712;3,226226567;-0,760082972;-0,462566421;3,659601203;3,279416402;1,537494397;-0,093925404;-0,093925404;3,584375764;3,584375764;-0,760082972;-0,462566421;0;0;-0,093925404;3,584375764;-0,093925404;3,584375764;0;0;3,659601203;3,279416402;-1,148164492;-0,741007345;-0,689908328;-0,317448348;49,36;2200,98;54,89;1424,74
-2,854761409;-2,668663149;-2,646384663;-3,146357002;-2,814772373;-2,633675439;-2,340904975;-3,097873543;0,412939334;-2,679834711;-2,679834711;-0,848449608;-0,848449608;-2,814772373;-2,633675439;-2,340904975;-3,097873543;-2,679834711;-0,848449608;-2,679834711;-0,848449608;0;0;0;0;-3,042215006;-2,369327157;-1,948384891;-0,189198985;-2,99685727;-2,341694226;-2,02853931;-0,189020229;2,271792386;-3,176268988;-3,176268988;-1,391981863;-1,391981863;-2,99685727;-2,341694226;-2,02853931;-0,189020229;-3,176268988;-1,391981863;-3,176268988;-1,391981863;0;0;0;0;-2,814772373;-2,633675439;-2,340904975;-3,097873543;47,99;2143,77;53,62;1381,28
0,311591192;0,142070597;0,560864146;1,335028608;0,312077648;0,142171613;0,502279914;1,344020232;1,143845165;0,462425725;0,462425725;0,266956027;0,266956027;0;0;0;0;0;0;0,462425725;0,266956027;0,312077648;0,142171613;0,502279914;1,344020232;1,315567549;1,175418041;1,383032552;0,542886599;1,324297792;1,182380693;1,463266651;0,544365584;-3,250834103;1,539699798;1,539699798;1,595060606;1,595060606;0;0;0;0;1,539699798;1,595060606;1,539699798;1,595060606;1,324297792;1,182380693;1,463266651;0,544365584;0,312077648;0,142171613;0,502279914;1,344020232;48,14;2146,82;53,89;1399,97
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,872675366;1,864822559;1,198944547;-0,097192155;49,05;2187,23;54,54;1398,61
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,094901449;0,920210012;-0,643798784;0,160744747;49,59;2207,45;54,19;1400,86
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,501078921;1,412880456;1,429119229;0,236716877;50,34;2238,86;54,97;1404,18
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,336417263;2,530619486;1,265382032;2,541875149;51,53;2296,24;55,67;1440,33
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,616974595;1,44707937;-1,229005168;-0,508117027;52,37;2329,71;54,99;1433,03
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,116081225;2,244013784;0,562155801;0,37611573;53,49;2382,58;55,3;1438,43
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,638286036;2,444095782;1,934157716;0,181977352;54,92;2441,53;56,38;1441,05
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,266526791;1,442729567;-0,729865278;0,0353846;55,62;2477,01;55,97;1441,56
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,157336607;-0,954476275;-1,657396973;-3,647247438;54,98;2453,48;55,05;1389,93
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,103384623;1,067048687;-2,482886165;-1,321712021;55,59;2479,8;53,7;1371,68
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,907490746;2,864459328;-0,44792908;-3,478985803;57,23;2551,86;53,46;1324,78
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,052433804;0,401253574;0,466549321;2,322640772;57,2;2562,12;53,71;1355,91
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,540494734;0,760918246;-2,202441966;0,070776107;57,51;2581,69;52,54;1356,87
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,506893886;-7,861217556;-8,393620569;-4,168618185;52,82;2386,51;48,31;1301,47
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,061155974;1,851589549;4,651060666;-3,494945733;53,92;2431,11;50,61;1256,77
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,695696815;3,40640157;-0,614410812;0,967637095;55,95;2515,35;50,3;1268,99
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,900291655;4,301935195;5,058727981;2,800472054;58,76;2625,92;52,91;1305,03
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,032769698;0,709985812;2,427303636;1,706391213;59,37;2644,63;54,21;1327,49
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,297803394;2,62865668;0,954661188;0,75272118;60,75;2715,07;54,73;1337,52
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,760082972;-0,462566421;3,659601203;3,279416402;60,29;2702,54;56,77;1382,11
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,99685727;-2,341694226;-2,02853931;-0,189020229;58,51;2639,99;55,63;1379,5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,324297792;1,182380693;1,463266651;0,544365584;59,29;2671,39;56,45;1387,03
